year;month;day;totale;areac
2013;01;01;74186;0
2013;01;02;97080;0
2013;01;03;108552;0
2013;01;04;115900;0
2013;01;05;124562;0
2013;01;06;111477;0
2013;01;07;113431;1
2013;01;08;124100;1
2013;01;09;127126;1
2013;01;10;137123;1
2013;01;11;141872;1
2013;01;12;161016;0
2013;01;13;125025;0
2013;01;14;136016;1
2013;01;15;144393;1
2013;01;16;145514;1
2013;01;17;147104;1
2013;01;18;146063;1
2013;01;19;148736;0
2013;01;20;111704;0
2013;01;21;130482;1
2013;01;22;138403;1
2013;01;23;142587;1
2013;01;24;147562;1
2013;01;25;146136;1
2013;01;26;152366;0
2013;01;27;121221;0
2013;01;28;134034;1
2013;01;29;138387;1
2013;01;30;141249;1
2013;01;31;146352;1
2013;02;01;141580;1
2013;02;02;131603;0
2013;02;03;103424;0
2013;02;04;127378;1
2013;02;05;137751;1
2013;02;06;143507;1
2013;02;07;150939;1
2013;02;08;147231;1
2013;02;09;148108;0
2013;02;10;119236;0
2013;02;11;111683;1
2013;02;12;120950;1
2013;02;13;137148;1
2013;02;14;143088;1
2013;02;15;134394;1
2013;02;16;134774;0
2013;02;17;114462;0
2013;02;18;129188;1
2013;02;19;141820;1
2013;02;20;149445;1
2013;02;21;158625;1
2013;02;22;155784;1
2013;02;23;165265;0
2013;02;24;126451;0
2013;02;25;137743;1
2013;02;26;139144;1
2013;02;27;143398;1
2013;02;28;150478;1
2013;03;01;145564;1
2013;03;02;146867;0
2013;03;03;123227;0
2013;03;04;134715;1
2013;03;05;143700;1
2013;03;06;149979;1
2013;03;07;154298;1
2013;03;08;152088;1
2013;03;09;153669;0
2013;03;10;123727;0
2013;03;11;133728;1
2013;03;12;143881;1
2013;03;13;145072;1
2013;03;14;150148;1
2013;03;15;147520;1
2013;03;16;156805;0
2013;03;17;93447;0
2013;03;18;135888;1
2013;03;19;139669;1
2013;03;20;148294;1
2013;03;21;152399;1
2013;03;22;192318;0
2013;03;23;158598;0
2013;03;24;108702;0
2013;03;25;136892;1
2013;03;26;145340;1
2013;03;27;147700;1
2013;03;28;145065;1
2013;03;29;115399;1
2013;03;30;100677;0
2013;03;31;77487;0
2013;04;01;85117;1
2013;04;02;111001;1
2013;04;03;128751;1
2013;04;04;148753;1
2013;04;05;154318;1
2013;04;06;159237;0
2013;04;07;79623;0
2013;04;08;151087;0
2013;04;09;157356;1
2013;04;10;160549;1
2013;04;11;167987;1
2013;04;12;167920;1
2013;04;13;168624;0
2013;04;14;133067;0
2013;04;15;132332;1
2013;04;16;139437;1
2013;04;17;141673;1
2013;04;18;150363;1
2013;04;19;148414;1
2013;04;20;152037;0
2013;04;21;116513;0
2013;04;22;140596;1
2013;04;23;146189;1
2013;04;24;143130;1
2013;04;25;91773;1
2013;04;26;95081;1
2013;04;27;115938;0
2013;04;28;99946;0
2013;04;29;123791;1
2013;04;30;137564;1
2013;05;01;115352;0
2013;05;02;132944;1
2013;05;03;137465;1
2013;05;04;144604;0
2013;05;05;117328;0
2013;05;06;139092;1
2013;05;07;144465;1
2013;05;08;145942;1
2013;05;09;156358;1
2013;05;10;160131;1
2013;05;11;159775;0
2013;05;12;83096;0
2013;05;13;129280;1
2013;05;14;137978;1
2013;05;15;146115;1
2013;05;16;159568;1
2013;05;17;149934;1
2013;05;18;154486;0
2013;05;19;122620;0
2013;05;20;135168;1
2013;05;21;143271;1
2013;05;22;144802;1
2013;05;23;147724;1
2013;05;24;153954;1
2013;05;25;151166;0
2013;05;26;116344;0
2013;05;27;130098;1
2013;05;28;141846;1
2013;05;29;149064;0
2013;05;30;152223;1
2013;05;31;145029;1
2013;06;01;142347;0
2013;06;02;111898;0
2013;06;03;139677;1
2013;06;04;137995;1
2013;06;05;142043;1
2013;06;06;147709;1
2013;06;07;139036;1
2013;06;08;133660;0
2013;06;09;78853;0
2013;06;10;128719;1
2013;06;11;134482;1
2013;06;12;139012;1
2013;06;13;143424;1
2013;06;14;164373;0
2013;06;15;124605;0
2013;06;16;92395;0
2013;06;17;128222;1
2013;06;18;137023;1
2013;06;19;140748;1
2013;06;20;146359;1
2013;06;21;139445;1
2013;06;22;127848;0
2013;06;23;106366;0
2013;06;24;132627;1
2013;06;25;137854;1
2013;06;26;137738;1
2013;06;27;144869;1
2013;06;28;133828;1
2013;06;29;122764;0
2013;06;30;93799;0
2013;07;01;120370;1
2013;07;02;128074;1
2013;07;03;134188;1
2013;07;04;138375;1
2013;07;05;127672;1
2013;07;06;115113;0
2013;07;07;92468;0
2013;07;08;122118;1
2013;07;09;131800;1
2013;07;10;135249;1
2013;07;11;135253;1
2013;07;12;126356;1
2013;07;13;111632;0
2013;07;14;87875;0
2013;07;15;120542;1
2013;07;16;130172;1
2013;07;17;130887;1
2013;07;18;135054;1
2013;07;19;124019;1
2013;07;20;104364;0
2013;07;21;82252;0
2013;07;22;116651;1
2013;07;23;125959;1
2013;07;24;128553;1
2013;07;25;131732;1
2013;07;26;119850;1
2013;07;27;100427;0
2013;07;28;76996;0
2013;07;29;113856;1
2013;07;30;116261;1
2013;07;31;116884;1
2013;08;01;115375;1
2013;08;02;103895;1
2013;08;03;88682;0
2013;08;04;60367;0
2013;08;05;82270;1
2013;08;06;82465;1
2013;08;07;81631;1
2013;08;08;81994;1
2013;08;09;72560;1
2013;08;10;64924;0
2013;08;11;52092;0
2013;08;12;65192;0
2013;08;13;65210;0
2013;08;14;65166;0
2013;08;15;46922;0
2013;08;16;53266;0
2013;08;17;52383;0
2013;08;18;46296;0
2013;08;19;67056;0
2013;08;20;69080;0
2013;08;21;70589;0
2013;08;22;72609;0
2013;08;23;75448;0
2013;08;24;68212;0
2013;08;25;65605;0
2013;08;26;78980;1
2013;08;27;85272;1
2013;08;28;84562;1
2013;08;29;92017;1
2013;08;30;91676;1
2013;08;31;99496;0
2013;09;01;88586;0
2013;09;02;106312;1
2013;09;03;115385;1
2013;09;04;120584;1
2013;09;05;127906;1
2013;09;06;124536;1
2013;09;07;125566;0
2013;09;08;106941;0
2013;09;09;123144;1
2013;09;10;135020;1
2013;09;11;138987;1
2013;09;12;143517;1
2013;09;13;137669;1
2013;09;14;137150;0
2013;09;15;118166;0
2013;09;16;135144;1
2013;09;17;150705;1
2013;09;18;150629;1
2013;09;19;155301;1
2013;09;20;153070;1
2013;09;21;155805;0
2013;09;22;14396;0
2013;09;23;138395;1
2013;09;24;141636;1
2013;09;25;143459;1
2013;09;26;148451;1
2013;09;27;147594;1
2013;09;28;136155;0
2013;09;29;13088;0
2013;09;30;134083;1
2013;10;01;136899;1
2013;10;02;138755;1
2013;10;03;147323;1
2013;10;04;147141;1
2013;10;05;154710;0
2013;10;06;118592;0
2013;10;07;136835;1
2013;10;08;141894;1
2013;10;09;143229;1
2013;10;10;155144;1
2013;10;11;150751;1
2013;10;12;160908;0
2013;10;13;66938;0
2013;10;14;132160;1
2013;10;15;138675;1
2013;10;16;140043;1
2013;10;17;144669;1
2013;10;18;175703;0
2013;10;19;155678;0
2013;10;20;122382;0
2013;10;21;132397;1
2013;10;22;142588;1
2013;10;23;148420;1
2013;10;24;151873;1
2013;10;25;146852;1
2013;10;26;154684;0
2013;10;27;122439;0
2013;10;28;128825;1
2013;10;29;141404;1
2013;10;30;123392;1
2013;10;31;85577;1
2013;11;01;58842;1
2013;11;02;62687;0
2013;11;03;57592;0
2013;11;04;134294;1
2013;11;05;137635;1
2013;11;06;137915;1
2013;11;07;147306;1
2013;11;08;151982;1
2013;11;09;160566;0
2013;11;10;124243;0
2013;11;11;131512;1
2013;11;12;138566;1
2013;11;13;142503;1
2013;11;14;151742;1
2013;11;15;157454;1
2013;11;16;157180;0
2013;11;17;126937;0
2013;11;18;135390;1
2013;11;19;146415;1
2013;11;20;147949;1
2013;11;21;155993;1
2013;11;22;154635;1
2013;11;23;164644;0
2013;11;24;129432;0
2013;11;25;132022;1
2013;11;26;141280;1
2013;11;27;145375;1
2013;11;28;154018;1
2013;11;29;153367;1
2013;11;30;160497;0
2013;12;01;129824;0
2013;12;02;132952;1
2013;12;03;142002;1
2013;12;04;149370;1
2013;12;05;155447;1
2013;12;06;155855;0
2013;12;07;141389;0
2013;12;08;127556;0
2013;12;09;138080;1
2013;12;10;147644;1
2013;12;11;150437;1
2013;12;12;160042;1
2013;12;13;160129;1
2013;12;14;168674;0
2013;12;15;144335;0
2013;12;16;169166;0
2013;12;17;158635;1
2013;12;18;166366;1
2013;12;19;181040;1
2013;12;20;181588;1
2013;12;21;164485;0
2013;12;22;133797;0
2013;12;23;158282;0
2013;12;24;134611;0
2013;12;25;81941;0
2013;12;26;77798;0
2013;12;27;121839;0
2013;12;28;104101;0
2013;12;29;90426;0
2013;12;30;101463;0
2013;12;31;95725;0
