nome;totale;Incidenti per chilometro;Incidenti per zona
Viale Fulvio Testi direz. perif. ; 194 ; 61.78 ; 69.52 
Viale Fulvio Testi direz. centro ; 202 ; 64.33 ; 69.52 
Cavalcavia del Ghisallo direz. centro ; 208 ; 66.24 ; 44.3 
Cavalcavia del Ghisallo direz. perif. ; 212 ; 67.51 ; 44.3 
Via Fermi ; 166 ; 52.86 ; 51.25
Via Parri direz. perif. ; 95 ; 30.25 ; 43.63 
Via Parri direz. centro ; 100 ; 31.84 ; 43.63 
Viale Famagosta ; 180 ; 57.32 ; 43.63 
Via dei Missaglia direz. centro ; 23 ; 7.32 ; 27.54 
Via Ferrari ; 57 ; 18.15 ; 44.3 
Viale Monteceneri dir. Serra ; 291 ; 92.67 ; 44.3 
Viale Monteceneri dir. Lugano ; 290 ; 92.35 ; 44.3 
Viale Serra dir. Monteceneri ; 296 ; 94.26 ; 44.3 
Viale Serra dir. Lotto; 296 ; 94.26 ; 44.3 
Viale Palmanova direz. perif. ; 149 ; 47.45 ; 59.79
Viale Palmanova direz. centro ; 149 ; 47.45 ; 59.79