LOCALITA;DATA;TMEDIA 째C;TMIN 째C;TMAX 째C;PUNTORUGIADA 째C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/8/2010;"25";"18";"30";"14";"53";"10";"3";"6";"0";"1017";"0";"0";""
Milano;2/8/2010;"25";"20";"30";"15";"52";"10";"4";"9";"0";"1014";"0";"0";"temporale"
Milano;3/8/2010;"25";"20";"31";"16";"59";"882";"5";"10";"0";"1009";"0";"0";"temporale"
Milano;4/8/2010;"24";"19";"28";"15";"58";"13";"6";"14";"0";"1009";"0";"0";""
Milano;5/8/2010;"19";"16";"23";"16";"86";"6770";"6";"15";"0";"1005";"0";"0";"pioggia temporale"
Milano;6/8/2010;"22";"16";"29";"12";"62";"1312";"3";"8";"0";"1008";"0";"0";"pioggia"
Milano;7/8/2010;"23";"17";"28";"13";"56";"10";"4";"8";"0";"1015";"0";"0";""
Milano;8/8/2010;"23";"17";"28";"15";"59";"13";"3";"6";"0";"1016";"0";"0";""
Milano;9/8/2010;"24";"19";"29";"16";"62";"10";"4";"53";"0";"1015";"0";"0";""
Milano;10/8/2010;"25";"19";"30";"17";"64";"10";"3";"6";"0";"1015";"0";"0";""
Milano;11/8/2010;"25";"21";"29";"19";"72";"1969";"3";"7";"0";"1014";"0";"0";"pioggia temporale"
Milano;12/8/2010;"21";"18";"25";"18";"85";"6132";"4";"10";"0";"1013";"0";"0";"pioggia temporale"
Milano;13/8/2010;"21";"18";"25";"17";"83";"1923";"5";"8";"0";"1013";"0";"0";"pioggia temporale"
Milano;14/8/2010;"18";"17";"20";"17";"94";"6685";"5";"12";"0";"1013";"0";"0";"pioggia"
Milano;15/8/2010;"19";"16";"25";"15";"79";"2406";"6";"16";"37";"1012";"0";"0";"pioggia temporale"
Milano;16/8/2010;"18";"13";"24";"14";"77";"11";"2";"6";"0";"1014";"0";"0";""
Milano;17/8/2010;"21";"14";"27";"15";"70";"11";"3";"7";"0";"1013";"0";"0";""
Milano;18/8/2010;"23";"19";"27";"16";"68";"10";"3";"8";"0";"1012";"0";"0";""
Milano;19/8/2010;"24";"19";"29";"18";"68";"10";"4";"7";"0";"1015";"0";"0";""
Milano;20/8/2010;"24";"20";"27";"20";"78";"10";"2";"4";"0";"1020";"0";"0";"pioggia"
Milano;21/8/2010;"25";"20";"31";"20";"74";"9";"3";"7";"0";"1022";"0";"0";"nebbia"
Milano;22/8/2010;"26";"20";"32";"20";"72";"10";"3";"6";"0";"1018";"0";"0";""
Milano;23/8/2010;"26";"21";"31";"19";"70";"9";"3";"6";"0";"1012";"0";"0";""
Milano;24/8/2010;"26";"22";"30";"19";"67";"10";"5";"7";"0";"1010";"0";"0";"temporale"
Milano;25/8/2010;"25";"21";"30";"19";"71";"10";"3";"6";"0";"1014";"0";"0";""
Milano;26/8/2010;"26";"20";"31";"19";"70";"10";"3";"6";"0";"1015";"0";"0";""
Milano;27/8/2010;"25";"23";"28";"19";"67";"10";"4";"9";"20";"1009";"0";"0";""
Milano;28/8/2010;"26";"21";"32";"13";"49";"11";"9";"16";"30";"1006";"0";"0";""
Milano;29/8/2010;"21";"18";"25";"12";"59";"10";"5";"9";"0";"1013";"0";"0";"pioggia"
Milano;30/8/2010;"21";"14";"26";"9";"40";"16";"9";"20";"31";"1008";"0";"0";""
Milano;31/8/2010;"21";"14";"26";"6";"37";"10";"8";"16";"24";"1011";"0";"0";""
Milano;1/4/2010;"9";"5";"12";"5";"77";"10";"8";"17";"25";"1010";"0";"0";"pioggia temporale"
Milano;2/4/2010;"8";"1";"15";"2";"64";"14";"3";"7";"0";"1016";"0";"0";""
Milano;3/4/2010;"8";"6";"11";"5";"79";"9";"5";"10";"0";"1018";"0";"0";"pioggia"
Milano;4/4/2010;"9";"7";"10";"8";"92";"8";"8";"13";"0";"1015";"0";"0";"pioggia"
Milano;5/4/2010;"12";"4";"19";"5";"47";"17";"7";"15";"0";"1018";"0";"0";"pioggia"
Milano;6/4/2010;"12";"3";"19";"2";"47";"40";"3";"6";"0";"1023";"0";"0";""
Milano;7/4/2010;"13";"6";"18";"4";"56";"10";"3";"7";"0";"1021";"0";"0";""
Milano;8/4/2010;"14";"9";"19";"4";"54";"9";"4";"7";"0";"1021";"0";"0";""
Milano;9/4/2010;"15";"7";"22";"5";"54";"9";"3";"7";"0";"1023";"0";"0";""
Milano;10/4/2010;"16";"8";"24";"5";"52";"9";"4";"9";"0";"1018";"0";"0";"nebbia"
Milano;11/4/2010;"11";"7";"17";"5";"69";"10";"12";"17";"28";"1014";"0";"0";"pioggia"
Milano;12/4/2010;"10";"8";"16";"2";"62";"10";"5";"13";"0";"1012";"0";"0";""
Milano;13/4/2010;"11";"7";"16";"3";"61";"12";"4";"14";"0";"1011";"0";"0";"pioggia"
Milano;14/4/2010;"12";"4";"18";"4";"58";"10";"4";"8";"0";"1010";"0";"0";""
Milano;15/4/2010;"13";"9";"18";"5";"62";"9";"4";"13";"20";"1012";"0";"0";""
Milano;16/4/2010;"12";"6";"19";"6";"67";"10";"5";"17";"0";"1014";"0";"0";"pioggia"
Milano;17/4/2010;"12";"10";"17";"9";"80";"9";"5";"15";"0";"1017";"0";"0";"pioggia"
Milano;18/4/2010;"11";"8";"15";"9";"87";"8";"4";"8";"0";"1016";"0";"0";"pioggia"
Milano;19/4/2010;"13";"6";"22";"8";"73";"10";"3";"7";"0";"1013";"0";"0";"nebbia"
Milano;20/4/2010;"16";"8";"24";"8";"61";"10";"4";"9";"0";"1013";"0";"0";""
Milano;21/4/2010;"17";"12";"24";"8";"59";"10";"6";"9";"0";"1012";"0";"0";""
Milano;22/4/2010;"16";"13";"20";"10";"69";"10";"4";"8";"0";"1011";"0";"0";""
Milano;23/4/2010;"14";"13";"16";"12";"87";"6";"5";"9";"0";"1013";"0";"0";"pioggia"
Milano;24/4/2010;"16";"12";"20";"12";"82";"8";"4";"9";"0";"1018";"0";"0";"pioggia"
Milano;25/4/2010;"18";"11";"24";"12";"70";"9";"4";"8";"0";"1021";"0";"0";"nebbia"
Milano;26/4/2010;"20";"16";"26";"12";"63";"10";"4";"13";"25";"1020";"0";"0";"pioggia temporale"
Milano;27/4/2010;"17";"14";"21";"12";"74";"11";"4";"10";"0";"1022";"0";"0";"pioggia temporale"
Milano;28/4/2010;"18";"12";"25";"12";"70";"8";"2";"6";"0";"1023";"0";"0";"nebbia"
Milano;29/4/2010;"20";"14";"26";"11";"60";"9";"3";"6";"17";"1020";"0";"0";""
Milano;30/4/2010;"20";"16";"24";"10";"54";"10";"4";"13";"0";"1015";"0";"0";""
Milano;1/12/2010;"2";"0";"3";"2";"99";"7";"3";"7";"0";"999";"0";"0";"pioggia neve"
Milano;2/12/2010;"1";"0";"2";"2";"100";"1";"4";"7";"0";"1005";"0";"0";"nebbia"
Milano;3/12/2010;"3";"1";"5";"2";"94";"4";"6";"10";"0";"0";"0";"0";"pioggia temporale nebbia"
Milano;4/12/2010;"3";"-1";"6";"2";"92";"7";"4";"8";"0";"0";"0";"0";"pioggia nebbia"
Milano;5/12/2010;"0";"-1";"2";"1";"96";"5";"3";"7";"0";"0";"0";"0";"pioggia neve nebbia"
Milano;6/12/2010;"1";"0";"1";"1";"100";"1";"3";"7";"0";"1010";"0";"0";"pioggia neve nebbia"
Milano;7/12/2010;"2";"1";"3";"2";"99";"1";"5";"7";"0";"1008";"0";"0";"pioggia nebbia"
Milano;8/12/2010;"5";"3";"6";"5";"99";"2";"3";"6";"0";"1009";"0";"0";"pioggia"
Milano;9/12/2010;"8";"4";"13";"6";"58";"5";"11";"30";"41";"1011";"0";"0";"nebbia"
Milano;10/12/2010;"6";"1";"10";"0";"45";"15";"7";"15";"0";"1022";"0";"0";""
Milano;11/12/2010;"4";"-2";"11";"1";"68";"43";"4";"12";"0";"1019";"0";"0";""
Milano;12/12/2010;"2";"-1";"6";"1";"84";"8";"5";"8";"0";"1008";"0";"0";""
Milano;13/12/2010;"3";"-3";"11";"0";"65";"11";"7";"18";"0";"1011";"0";"0";"nebbia"
Milano;14/12/2010;"-1";"-5";"1";"0";"93";"5";"3";"6";"0";"1018";"0";"0";"nebbia"
Milano;15/12/2010;"-4";"-5";"-2";"0";"100";"1";"3";"5";"0";"1018";"0";"0";"nebbia"
Milano;16/12/2010;"-4";"-7";"-1";"0";"97";"2";"3";"6";"0";"1014";"0";"0";"nebbia"
Milano;17/12/2010;"-4";"-6";"-2";"0";"91";"4";"3";"6";"0";"1001";"0";"0";"neve nebbia"
Milano;18/12/2010;"-3";"-6";"1";"0";"82";"7";"5";"10";"0";"1002";"0";"0";""
Milano;19/12/2010;"-1";"-5";"0";"0";"80";"8";"4";"7";"0";"1012";"0";"0";"neve"
Milano;20/12/2010;"1";"-1";"2";"0";"83";"5";"5";"7";"0";"1012";"0";"0";"neve"
Milano;21/12/2010;"1";"0";"2";"1";"95";"2";"3";"7";"0";"1014";"0";"0";"pioggia neve nebbia"
Milano;22/12/2010;"2";"1";"3";"2";"99";"2";"5";"9";"0";"1010";"0";"0";"pioggia"
Milano;23/12/2010;"4";"2";"5";"4";"99";"3";"4";"7";"0";"1000";"0";"0";"pioggia nebbia"
Milano;24/12/2010;"6";"4";"8";"6";"99";"4";"4";"7";"0";"992";"0";"0";"pioggia nebbia"
Milano;25/12/2010;"6";"6";"7";"6";"98";"3";"3";"5";"0";"1000";"0";"0";"pioggia nebbia"
Milano;26/12/2010;"3";"0";"6";"3";"97";"7";"4";"7";"0";"1015";"0";"0";"pioggia neve"
Milano;27/12/2010;"0";"-3";"4";"1";"93";"8";"4";"7";"0";"1023";"0";"0";"nebbia"
Milano;28/12/2010;"-2";"-4";"-1";"0";"99";"2";"4";"6";"0";"1023";"0";"0";"nebbia"
Milano;29/12/2010;"-1";"-4";"3";"0";"92";"4";"3";"8";"0";"1024";"0";"0";""
Milano;30/12/2010;"2";"1";"4";"1";"87";"4";"2";"4";"0";"0";"0";"0";""
Milano;31/12/2010;"2";"-1";"6";"1";"91";"4";"3";"8";"0";"0";"0";"0";"nebbia"
Milano;1/2/2010;"1";"-5";"7";"0";"56";"7";"3";"7";"0";"1012";"0";"0";"nebbia"
Milano;2/2/2010;"0";"-4";"9";"0";"52";"10";"3";"7";"0";"1018";"0";"0";""
Milano;3/2/2010;"4";"0";"8";"0";"53";"11";"3";"7";"0";"1017";"0";"0";""
Milano;4/2/2010;"4";"2";"6";"0";"58";"6";"3";"6";"0";"1022";"0";"0";"pioggia"
Milano;5/2/2010;"2";"0";"3";"1";"92";"2";"3";"6";"0";"1014";"0";"0";"pioggia neve"
Milano;6/2/2010;"3";"1";"6";"1";"82";"5";"3";"8";"0";"1006";"0";"0";"pioggia nebbia"
Milano;7/2/2010;"2";"-1";"5";"2";"87";"0";"2";"5";"0";"1010";"0";"0";"nebbia"
Milano;8/2/2010;"1";"-1";"2";"0";"88";"1";"2";"5";"0";"1009";"0";"0";"nebbia"
Milano;9/2/2010;"2";"0";"3";"1";"90";"2";"3";"7";"0";"1005";"0";"0";"neve nebbia"
Milano;10/2/2010;"3";"0";"5";"2";"89";"4";"3";"7";"0";"996";"0";"0";""
Milano;11/2/2010;"2";"1";"4";"2";"91";"5";"5";"9";"0";"995";"0";"0";"pioggia neve"
Milano;12/2/2010;"5";"2";"10";"2";"72";"6";"4";"7";"0";"1003";"0";"0";""
Milano;13/2/2010;"4";"-1";"11";"1";"65";"6";"2";"6";"0";"1008";"0";"0";"nebbia"
Milano;14/2/2010;"4";"2";"7";"2";"79";"5";"3";"7";"0";"1008";"0";"0";"pioggia nebbia"
Milano;15/2/2010;"2";"0";"4";"2";"97";"1";"2";"5";"0";"1007";"0";"0";"pioggia nebbia"
Milano;16/2/2010;"4";"3";"5";"2";"86";"4";"3";"6";"0";"1007";"0";"0";"pioggia"
Milano;17/2/2010;"5";"4";"6";"5";"98";"2";"3";"6";"0";"1002";"0";"0";"pioggia"
Milano;18/2/2010;"6";"7";"11";"5";"92";"5";"4";"8";"0";"1002";"0";"0";"pioggia"
Milano;19/2/2010;"7";"6";"8";"7";"99";"5";"6";"10";"20";"994";"0";"0";"pioggia"
Milano;20/2/2010;"7";"4";"14";"5";"79";"10";"4";"13";"0";"994";"0";"0";""
Milano;21/2/2010;"6";"1";"9";"3";"83";"9";"5";"10";"0";"1006";"0";"0";"pioggia nebbia"
Milano;22/2/2010;"5";"4";"6";"5";"96";"6";"4";"13";"0";"1006";"0";"0";"pioggia"
Milano;23/2/2010;"6";"5";"9";"5";"94";"6";"4";"7";"0";"1003";"0";"0";"pioggia"
Milano;24/2/2010;"7";"5";"12";"5";"89";"6";"2";"5";"0";"1004";"0";"0";"nebbia"
Milano;25/2/2010;"8";"3";"14";"6";"86";"5";"3";"7";"0";"1006";"0";"0";"pioggia nebbia"
Milano;26/2/2010;"10";"8";"13";"7";"85";"5";"5";"12";"0";"1000";"0";"0";"pioggia"
Milano;27/2/2010;"9";"2";"14";"3";"53";"11";"3";"10";"18";"1010";"0";"0";"pioggia"
Milano;28/2/2010;"8";"6";"10";"5";"82";"10";"4";"9";"0";"1007";"0";"0";"pioggia"
Milano;1/1/2010;"5";"3";"7";"3";"88";"2";"2";"5";"0";"992";"0";"0";"pioggia nebbia"
Milano;2/1/2010;"3";"1";"10";"1";"82";"8";"11";"24";"31";"1004";"0";"0";"nebbia"
Milano;3/1/2010;"0";"-3";"3";"0";"50";"10";"3";"8";"0";"1019";"0";"0";""
Milano;4/1/2010;"1";"-1";"3";"0";"63";"10";"2";"5";"0";"1017";"0";"0";"neve"
Milano;5/1/2010;"2";"1";"3";"0";"66";"9";"2";"5";"0";"1006";"0";"0";""
Milano;6/1/2010;"3";"1";"8";"0";"59";"9";"2";"6";"0";"999";"0";"0";"pioggia"
Milano;7/1/2010;"3";"-1";"7";"1";"70";"5";"2";"6";"0";"988";"0";"0";"pioggia neve nebbia"
Milano;8/1/2010;"3";"2";"5";"2";"87";"3";"3";"7";"0";"1002";"0";"0";"pioggia"
Milano;9/1/2010;"4";"3";"6";"3";"90";"4";"4";"12";"0";"996";"0";"0";"pioggia"
Milano;10/1/2010;"5";"2";"10";"2";"75";"9";"4";"10";"0";"1007";"0";"0";"pioggia nebbia"
Milano;11/1/2010;"1";"-1";"5";"1";"84";"3";"2";"5";"0";"0";"0";"0";"nebbia"
Milano;12/1/2010;"2";"0";"5";"0";"79";"5";"2";"7";"0";"1014";"0";"0";""
Milano;13/1/2010;"4";"3";"5";"2";"83";"3";"2";"6";"0";"1011";"0";"0";"pioggia"
Milano;14/1/2010;"4";"3";"5";"2";"83";"2";"2";"5";"0";"1011";"0";"0";"pioggia"
Milano;15/1/2010;"5";"1";"8";"2";"75";"4";"2";"2";"0";"1018";"0";"0";"nebbia"
Milano;16/1/2010;"2";"0";"4";"1";"84";"2";"2";"5";"0";"1025";"0";"0";"nebbia"
Milano;17/1/2010;"4";"2";"6";"1";"77";"3";"3";"6";"0";"1022";"0";"0";""
Milano;18/1/2010;"2";"0";"6";"1";"85";"1";"3";"6";"0";"1024";"0";"0";"nebbia"
Milano;19/1/2010;"0";"-1";"1";"0";"87";"1";"2";"5";"0";"1022";"0";"0";"nebbia"
Milano;20/1/2010;"0";"-2";"1";"0";"82";"1";"2";"5";"0";"1017";"0";"0";"nebbia"
Milano;21/1/2010;"0";"-1";"1";"0";"86";"1";"2";"5";"0";"1018";"0";"0";"nebbia"
Milano;22/1/2010;"1";"-1";"2";"0";"83";"2";"3";"5";"0";"1024";"0";"0";"nebbia"
Milano;23/1/2010;"1";"0";"3";"0";"79";"4";"4";"7";"0";"1025";"0";"0";""
Milano;24/1/2010;"1";"-1";"2";"0";"76";"3";"2";"5";"0";"1025";"0";"0";""
Milano;25/1/2010;"2";"1";"3";"0";"68";"4";"3";"6";"0";"1028";"0";"0";"neve"
Milano;26/1/2010;"2";"0";"5";"1";"68";"5";"3";"7";"0";"1026";"0";"0";"neve"
Milano;27/1/2010;"2";"-2";"6";"0";"67";"5";"3";"8";"0";"1022";"0";"0";"nebbia"
Milano;28/1/2010;"2";"-2";"8";"0";"66";"5";"5";"12";"0";"1005";"0";"0";""
Milano;29/1/2010;"1";"-2";"5";"0";"71";"3";"2";"4";"0";"998";"0";"0";"pioggia neve nebbia"
Milano;30/1/2010;"2";"-1";"4";"0";"74";"2";"3";"7";"0";"991";"0";"0";"pioggia nebbia"
Milano;31/1/2010;"2";"-2";"7";"0";"55";"7";"5";"12";"0";"1001";"0";"0";"nebbia"
Milano;1/6/2010;"21";"14";"26";"7";"39";"17";"7";"14";"0";"1007";"0";"0";""
Milano;2/6/2010;"23";"19";"27";"6";"35";"13";"8";"18";"23";"1005";"0";"0";"pioggia"
Milano;3/6/2010;"21";"17";"25";"11";"54";"10";"9";"99";"0";"1008";"0";"0";""
Milano;4/6/2010;"23";"16";"29";"11";"49";"10";"5";"8";"0";"1014";"0";"0";""
Milano;5/6/2010;"24";"19";"30";"14";"55";"10";"4";"9";"0";"1018";"0";"0";""
Milano;6/6/2010;"25";"19";"30";"15";"56";"10";"5";"8";"0";"1016";"0";"0";""
Milano;7/6/2010;"23";"21";"26";"16";"63";"10";"4";"9";"0";"1012";"0";"0";""
Milano;8/6/2010;"23";"21";"27";"16";"63";"10";"4";"9";"0";"1011";"0";"0";""
Milano;9/6/2010;"25";"18";"29";"15";"56";"10";"4";"8";"0";"1011";"0";"0";""
Milano;10/6/2010;"25";"21";"29";"17";"61";"10";"6";"37";"0";"1012";"0";"0";"pioggia"
Milano;11/6/2010;"25";"20";"30";"18";"65";"8";"4";"9";"0";"1011";"0";"0";""
Milano;12/6/2010;"26";"21";"29";"17";"60";"10";"4";"7";"0";"1010";"0";"0";""
Milano;13/6/2010;"23";"21";"28";"14";"56";"10";"5";"12";"0";"1010";"0";"0";"pioggia"
Milano;14/6/2010;"23";"19";"27";"15";"63";"10";"5";"9";"17";"1011";"0";"0";""
Milano;15/6/2010;"21";"18";"24";"17";"79";"9";"7";"14";"0";"1013";"0";"0";"pioggia"
Milano;16/6/2010;"20";"17";"21";"18";"92";"7";"6";"14";"0";"1010";"0";"0";"pioggia"
Milano;17/6/2010;"19";"16";"22";"15";"83";"10";"5";"12";"0";"1013";"0";"0";"pioggia temporale"
Milano;18/6/2010;"20";"14";"25";"14";"73";"8";"5";"10";"0";"1010";"0";"0";"nebbia"
Milano;19/6/2010;"18";"16";"24";"14";"78";"10";"4";"17";"0";"1002";"0";"0";"pioggia temporale"
Milano;20/6/2010;"15";"13";"16";"12";"87";"11";"4";"9";"0";"1002";"0";"0";"pioggia"
Milano;21/6/2010;"19";"13";"25";"12";"67";"10";"5";"10";"0";"1007";"0";"0";""
Milano;22/6/2010;"21";"15";"25";"12";"57";"10";"4";"9";"0";"1013";"0";"0";""
Milano;23/6/2010;"22";"16";"27";"11";"52";"10";"3";"7";"0";"1016";"0";"0";""
Milano;24/6/2010;"23";"17";"28";"14";"60";"10";"3";"7";"0";"1014";"0";"0";""
Milano;25/6/2010;"24";"19";"28";"14";"57";"10";"3";"7";"0";"1013";"0";"0";""
Milano;26/6/2010;"24";"18";"30";"16";"62";"10";"3";"6";"0";"1012";"0";"0";""
Milano;27/6/2010;"26";"20";"30";"17";"57";"9";"5";"8";"0";"1015";"0";"0";""
Milano;28/6/2010;"26";"21";"31";"17";"59";"9";"4";"8";"0";"1015";"0";"0";""
Milano;29/6/2010;"26";"23";"31";"17";"57";"10";"4";"8";"0";"1016";"0";"0";""
Milano;30/6/2010;"27";"21";"31";"17";"57";"10";"3";"9";"0";"1016";"0";"0";""
