LOCALITA;DATA;TMEDIA 째C;TMIN 째C;TMAX 째C;PUNTORUGIADA 째C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/7/2010;"28";"22";"33";"18";"56";"9";"4";"8";"0";"1015";"0";"0";""
Milano;2/7/2010;"28";"22";"32";"18";"55";"9";"3";"8";"0";"1015";"0";"0";""
Milano;3/7/2010;"29";"24";"33";"18";"53";"10";"5";"16";"0";"1015";"0";"0";""
Milano;4/7/2010;"28";"22";"33";"17";"52";"10";"3";"6";"0";"1015";"0";"0";""
Milano;5/7/2010;"27";"22";"32";"20";"65";"10";"5";"14";"0";"1014";"0";"0";"pioggia temporale"
Milano;6/7/2010;"27";"23";"31";"19";"63";"10";"5";"16";"29";"1014";"0";"0";""
Milano;7/7/2010;"26";"20";"30";"17";"60";"10";"6";"13";"0";"1017";"0";"0";""
Milano;8/7/2010;"26";"22";"29";"16";"57";"10";"6";"12";"0";"1020";"0";"0";""
Milano;9/7/2010;"27";"22";"31";"18";"60";"10";"3";"7";"0";"1020";"0";"0";""
Milano;10/7/2010;"28";"23";"33";"20";"63";"8";"4";"7";"0";"1019";"0";"0";""
Milano;11/7/2010;"29";"22";"33";"20";"60";"10";"6";"23";"0";"1017";"0";"0";"pioggia temporale"
Milano;12/7/2010;"27";"21";"33";"20";"67";"10";"5";"14";"0";"1015";"0";"0";"pioggia temporale"
Milano;13/7/2010;"28";"23";"32";"21";"64";"10";"5";"9";"0";"1012";"0";"0";"pioggia temporale"
Milano;14/7/2010;"28";"24";"33";"19";"57";"10";"3";"6";"0";"1012";"0";"0";""
Milano;15/7/2010;"29";"24";"33";"19";"55";"10";"4";"8";"0";"1012";"0";"0";""
Milano;16/7/2010;"29";"23";"34";"19";"57";"10";"4";"9";"0";"1014";"0";"0";""
Milano;17/7/2010;"29";"23";"34";"20";"58";"10";"4";"8";"0";"1013";"0";"0";""
Milano;18/7/2010;"27";"22";"31";"13";"40";"10";"7";"14";"0";"1015";"0";"0";""
Milano;19/7/2010;"26";"22";"30";"15";"52";"10";"4";"8";"0";"1017";"0";"0";""
Milano;20/7/2010;"27";"23";"31";"17";"54";"10";"4";"8";"0";"1014";"0";"0";""
Milano;21/7/2010;"28";"20";"33";"18";"56";"10";"4";"7";"0";"1012";"0";"0";""
Milano;22/7/2010;"29";"24";"33";"18";"53";"10";"4";"9";"0";"1012";"0";"0";""
Milano;23/7/2010;"26";"20";"31";"19";"67";"496";"4";"21";"37";"1011";"0";"0";"pioggia temporale"
Milano;24/7/2010;"25";"19";"31";"6";"33";"10";"12";"20";"31";"1010";"0";"0";""
Milano;25/7/2010;"24";"18";"29";"7";"34";"18";"5";"9";"21";"1009";"0";"0";""
Milano;26/7/2010;"23";"18";"28";"12";"51";"743";"5";"8";"0";"1010";"0";"0";"pioggia temporale"
Milano;27/7/2010;"24";"19";"28";"14";"54";"457";"5";"12";"21";"1012";"0";"0";"pioggia temporale"
Milano;28/7/2010;"24";"18";"30";"14";"55";"10";"4";"8";"0";"1015";"0";"0";""
Milano;29/7/2010;"22";"18";"25";"16";"69";"782";"5";"13";"0";"1009";"0";"0";"pioggia"
Milano;30/7/2010;"21";"15";"27";"14";"64";"10";"5";"18";"0";"1010";"0";"0";"temporale"
Milano;31/7/2010;"23";"16";"28";"13";"57";"13";"4";"8";"0";"1015";"0";"0";""
Milano;1/5/2010;"19";"15";"22";"11";"64";"10";"4";"9";"0";"1012";"0";"0";""
Milano;2/5/2010;"17";"15";"18";"12";"76";"9";"9";"21";"0";"1009";"0";"0";"pioggia"
Milano;3/5/2010;"16";"12";"21";"13";"85";"9";"5";"15";"0";"1006";"0";"0";"pioggia temporale"
Milano;4/5/2010;"14";"13";"16";"13";"93";"9";"5";"13";"0";"1007";"0";"0";"pioggia"
Milano;5/5/2010;"14";"11";"17";"13";"94";"9";"5";"17";"29";"1003";"0";"0";"pioggia temporale"
Milano;6/5/2010;"12";"8";"19";"9";"84";"10";"3";"8";"0";"1003";"0";"0";"pioggia"
Milano;7/5/2010;"13";"9";"16";"10";"84";"10";"4";"12";"0";"1007";"0";"0";"pioggia nebbia"
Milano;8/5/2010;"14";"11";"19";"10";"75";"10";"4";"6";"0";"1009";"0";"0";"pioggia"
Milano;9/5/2010;"15";"12";"20";"11";"79";"10";"5";"18";"0";"1010";"0";"0";"pioggia"
Milano;10/5/2010;"14";"12";"17";"13";"91";"8";"5";"8";"0";"1008";"0";"0";"pioggia"
Milano;11/5/2010;"15";"14";"19";"14";"94";"5";"8";"14";"0";"1006";"0";"0";"pioggia temporale"
Milano;12/5/2010;"16";"13";"19";"13";"85";"7";"6";"12";"0";"1006";"0";"0";"pioggia temporale"
Milano;13/5/2010;"16";"12";"21";"11";"77";"10";"4";"10";"0";"1006";"0";"0";"pioggia"
Milano;14/5/2010;"14";"11";"18";"10";"76";"10";"5";"12";"0";"1005";"0";"0";"pioggia temporale"
Milano;15/5/2010;"14";"11";"18";"10";"73";"11";"4";"9";"0";"1000";"0";"0";""
Milano;16/5/2010;"16";"12";"23";"6";"55";"14";"7";"18";"25";"1006";"0";"0";""
Milano;17/5/2010;"16";"11";"23";"4";"37";"10";"7";"15";"0";"1014";"0";"0";""
Milano;18/5/2010;"15";"10";"23";"5";"44";"10";"10";"20";"29";"1017";"0";"0";""
Milano;19/5/2010;"17";"12";"22";"5";"44";"10";"6";"14";"0";"1017";"0";"0";""
Milano;20/5/2010;"19";"12";"24";"7";"48";"10";"4";"8";"0";"1019";"0";"0";""
Milano;21/5/2010;"20";"13";"27";"7";"47";"13";"3";"7";"0";"1019";"0";"0";""
Milano;22/5/2010;"20";"13";"27";"9";"53";"14";"3";"7";"17";"1018";"0";"0";""
Milano;23/5/2010;"23";"17";"28";"9";"44";"10";"4";"7";"0";"1016";"0";"0";""
Milano;24/5/2010;"2";"0";"28";"12";"26";"1";"4";"6";"0";"1015";"0";"0";""
Milano;25/5/2010;"23";"19";"28";"11";"48";"10";"6";"10";"0";"1013";"0";"0";""
Milano;26/5/2010;"22";"17";"26";"9";"45";"10";"5";"9";"0";"1011";"0";"0";""
Milano;27/5/2010;"18";"15";"23";"12";"69";"11";"4";"10";"0";"1009";"0";"0";"pioggia temporale"
Milano;28/5/2010;"19";"14";"23";"14";"71";"10";"3";"6";"0";"1013";"0";"0";""
Milano;29/5/2010;"20";"16";"25";"15";"72";"9";"4";"10";"0";"1015";"0";"0";"pioggia temporale"
Milano;30/5/2010;"20";"17";"25";"15";"75";"8";"4";"8";"0";"1011";"0";"0";"pioggia"
Milano;31/5/2010;"22";"16";"25";"8";"38";"12";"11";"22";"30";"1005";"0";"0";""
Milano;1/3/2010;"7";"2";"13";"5";"86";"9";"3";"8";"0";"1010";"0";"0";""
Milano;2/3/2010;"10";"3";"18";"4";"72";"5";"3";"6";"0";"1017";"0";"0";"nebbia"
Milano;3/3/2010;"7";"4";"10";"5";"88";"5";"5";"16";"0";"1016";"0";"0";"pioggia"
Milano;4/3/2010;;;;;;;;;;;;;
Milano;5/3/2010;"5";"3";"9";"4";"67";"9";"7";"21";"33";"1014";"0";"0";"pioggia nebbia"
Milano;6/3/2010;"4";"-3";"10";"0";"46";"14";"4";"8";"0";"1015";"0";"0";""
Milano;7/3/2010;"4";"1";"6";"0";"61";"10";"8";"17";"24";"1019";"0";"0";""
Milano;8/3/2010;"2";"0";"5";"0";"52";"10";"5";"9";"0";"1017";"0";"0";""
Milano;9/3/2010;"1";"-1";"4";"0";"67";"7";"5";"12";"0";"1012";"0";"0";"neve"
Milano;10/3/2010;"1";"0";"2";"1";"100";"2";"3";"7";"0";"1011";"0";"0";"neve"
Milano;11/3/2010;"3";"0";"6";"1";"85";"7";"3";"8";"0";"1011";"0";"0";"neve"
Milano;12/3/2010;"4";"0";"9";"1";"80";"7";"3";"8";"0";"1014";"0";"0";""
Milano;13/3/2010;"6";"-1";"12";"2";"78";"6";"3";"6";"0";"1019";"0";"0";"nebbia"
Milano;14/3/2010;"7";"0";"14";"3";"75";"5";"3";"7";"0";"1018";"0";"0";"nebbia"
Milano;15/3/2010;"9";"2";"16";"3";"56";"6";"5";"9";"0";"1019";"0";"0";""
Milano;16/3/2010;"10";"3";"18";"0";"41";"13";"6";"13";"0";"1021";"0";"0";""
Milano;17/3/2010;"10";"2";"15";"5";"62";"9";"4";"9";"0";"1028";"0";"0";""
Milano;18/3/2010;"12";"8";"16";"6";"68";"10";"5";"9";"0";"1029";"0";"0";""
Milano;19/3/2010;"12";"7";"16";"6";"67";"10";"4";"9";"0";"1028";"0";"0";""
Milano;20/3/2010;"12";"10";"13";"9";"84";"7";"3";"7";"0";"1025";"0";"0";"pioggia"
Milano;21/3/2010;"11";"10";"12";"11";"99";"2";"2";"4";"0";"1023";"0";"0";"pioggia"
Milano;22/3/2010;"11";"11";"12";"11";"99";"2";"3";"6";"0";"1022";"0";"0";"pioggia"
Milano;23/3/2010;"13";"10";"18";"11";"89";"5";"3";"6";"0";"1020";"0";"0";"pioggia"
Milano;24/3/2010;"14";"10";"19";"10";"80";"8";"4";"7";"0";"1017";"0";"0";"nebbia"
Milano;25/3/2010;"14";"11";"17";"10";"79";"8";"5";"9";"0";"1017";"0";"0";"pioggia"
Milano;26/3/2010;"14";"12";"17";"11";"85";"6";"10";"21";"29";"1013";"0";"0";"pioggia"
Milano;27/3/2010;"13";"5";"18";"6";"68";"10";"3";"8";"0";"1010";"0";"0";""
Milano;28/3/2010;"14";"6";"20";"4";"52";"17";"5";"9";"0";"1012";"0";"0";""
Milano;29/3/2010;"14";"8";"17";"6";"62";"10";"2";"7";"0";"1013";"0";"0";""
Milano;30/3/2010;"11";"8";"14";"9";"85";"9";"7";"18";"0";"1004";"0";"0";"pioggia temporale"
Milano;31/3/2010;"11";"5";"18";"6";"70";"10";"5";"10";"0";"1004";"0";"0";""
Milano;1/11/2010;"13";"10";"14";"12";"95";"8";"7";"14";"0";"1009";"0";"0";"pioggia"
Milano;2/11/2010;"13";"11";"14";"12";"97";"8";"3";"6";"0";"1012";"0";"0";"pioggia nebbia"
Milano;3/11/2010;"12";"7";"18";"11";"92";"5";"4";"8";"0";"0";"0";"0";"nebbia"
Milano;4/11/2010;"11";"8";"15";"10";"93";"5";"2";"5";"0";"1028";"0";"0";"nebbia"
Milano;5/11/2010;"12";"9";"16";"11";"89";"5";"4";"7";"0";"1029";"0";"0";""
Milano;6/11/2010;"13";"11";"15";"11";"88";"5";"3";"7";"0";"1019";"0";"0";""
Milano;7/11/2010;"12";"11";"12";"11";"94";"3";"7";"10";"0";"1003";"0";"0";"pioggia"
Milano;8/11/2010;"11";"8";"14";"8";"82";"7";"7";"12";"0";"986";"0";"0";"pioggia temporale"
Milano;9/11/2010;"8";"7";"9";"7";"91";"9";"5";"15";"0";"985";"0";"0";"pioggia"
Milano;10/11/2010;"9";"7";"11";"8";"93";"5";"3";"6";"0";"996";"0";"0";"pioggia nebbia"
Milano;11/11/2010;"7";"5";"9";"6";"98";"1";"3";"6";"0";"1011";"0";"0";"nebbia"
Milano;12/11/2010;"8";"4";"12";"7";"91";"5";"5";"8";"0";"1010";"0";"0";"nebbia"
Milano;13/11/2010;"10";"9";"12";"8";"88";"4";"3";"6";"0";"1013";"0";"0";""
Milano;14/11/2010;"11";"10";"11";"10";"94";"2";"3";"7";"0";"1015";"0";"0";"pioggia nebbia"
Milano;15/11/2010;"11";"10";"12";"10";"95";"2";"5";"10";"0";"1014";"0";"0";"pioggia nebbia"
Milano;16/11/2010;"11";"10";"12";"11";"96";"8";"5";"10";"0";"1007";"0";"0";"pioggia"
Milano;17/11/2010;"11";"7";"15";"9";"88";"10";"3";"7";"0";"1008";"0";"0";"pioggia nebbia"
Milano;18/11/2010;"8";"5";"10";"8";"96";"4";"3";"10";"0";"1009";"0";"0";"pioggia nebbia"
Milano;19/11/2010;"9";"8";"13";"7";"84";"10";"3";"6";"0";"1015";"0";"0";""
Milano;20/11/2010;"8";"7";"9";"7";"89";"8";"5";"8";"0";"1017";"0";"0";"pioggia"
Milano;21/11/2010;"8";"7";"8";"8";"99";"4";"4";"7";"0";"1005";"0";"0";"pioggia"
Milano;22/11/2010;"8";"7";"10";"7";"92";"8";"4";"7";"0";"998";"0";"0";"pioggia"
Milano;23/11/2010;"5";"4";"7";"5";"98";"2";"4";"8";"0";"999";"0";"0";"nebbia"
Milano;24/11/2010;"5";"1";"10";"3";"88";"1";"3";"7";"0";"1005";"0";"0";"nebbia"
Milano;25/11/2010;"4";"1";"9";"2";"83";"9";"4";"13";"0";"1006";"0";"0";"nebbia"
Milano;26/11/2010;"2";"0";"4";"2";"92";"6";"5";"12";"0";"999";"0";"0";"pioggia neve nebbia"
Milano;27/11/2010;"1";"-3";"4";"1";"80";"11";"4";"8";"0";"1007";"0";"0";"pioggia neve"
Milano;28/11/2010;"3";"1";"4";"2";"96";"6";"5";"7";"0";"1003";"0";"0";"pioggia neve"
Milano;29/11/2010;"3";"0";"9";"2";"83";"6";"5";"10";"0";"0";"0";"0";"pioggia nebbia"
Milano;30/11/2010;"3";"0";"6";"1";"76";"10";"4";"12";"0";"1008";"0";"0";"pioggia"
Milano;1/10/2010;"16";"15";"18";"14";"86";"5";"4";"9";"0";"1014";"0";"0";""
Milano;2/10/2010;"17";"14";"20";"14";"83";"5";"2";"6";"0";"1018";"0";"0";""
Milano;3/10/2010;;;;;;;;;;;;;
Milano;4/10/2010;"17";"16";"18";"16";"95";"5";"8";"16";"0";"1011";"0";"0";"pioggia"
Milano;5/10/2010;"18";"16";"20";"17";"93";"8";"4";"13";"0";"1008";"0";"0";"pioggia"
Milano;6/10/2010;"17";"12";"23";"15";"87";"9";"2";"4";"0";"1014";"0";"0";"nebbia"
Milano;7/10/2010;"17";"13";"21";"16";"92";"7";"3";"6";"0";"1020";"0";"0";"nebbia"
Milano;8/10/2010;"16";"15";"17";"10";"69";"10";"5";"9";"0";"1022";"0";"0";""
Milano;9/10/2010;"14";"13";"16";"9";"69";"10";"4";"8";"0";"1021";"0";"0";""
Milano;10/10/2010;"13";"9";"17";"9";"75";"10";"4";"8";"0";"1013";"0";"0";"nebbia"
Milano;11/10/2010;"14";"10";"18";"7";"66";"10";"3";"10";"0";"1012";"0";"0";""
Milano;12/10/2010;"13";"8";"19";"8";"75";"9";"2";"6";"0";"1012";"0";"0";"nebbia"
Milano;13/10/2010;"12";"9";"16";"8";"79";"7";"2";"6";"0";"1011";"0";"0";""
Milano;14/10/2010;"14";"8";"19";"9";"77";"7";"2";"6";"0";"1009";"0";"0";"nebbia"
Milano;15/10/2010;"12";"7";"18";"10";"86";"4";"2";"6";"0";"1008";"0";"0";"nebbia"
Milano;16/10/2010;"11";"9";"14";"8";"81";"6";"5";"12";"0";"1007";"0";"0";"pioggia"
Milano;17/10/2010;"9";"8";"10";"9";"97";"8";"3";"9";"0";"1009";"0";"0";"pioggia"
Milano;18/10/2010;"11";"7";"16";"8";"87";"10";"2";"5";"0";"1013";"0";"0";"nebbia"
Milano;19/10/2010;"10";"4";"18";"6";"82";"4";"2";"6";"0";"1007";"0";"0";"nebbia"
Milano;20/10/2010;"12";"6";"19";"7";"65";"10";"4";"14";"0";"1007";"0";"0";"nebbia"
Milano;21/10/2010;"10";"3";"16";"2";"61";"35";"2";"5";"0";"1020";"0";"0";""
Milano;22/10/2010;"10";"5";"14";"6";"76";"10";"2";"4";"0";"1024";"0";"0";""
Milano;23/10/2010;"11";"10";"12";"9";"87";"5";"1";"4";"0";"1019";"0";"0";""
Milano;24/10/2010;"11";"10";"11";"10";"94";"2";"2";"6";"0";"1012";"0";"0";"pioggia"
Milano;25/10/2010;"9";"8";"11";"8";"94";"6";"5";"16";"0";"1004";"0";"0";"pioggia temporale"
Milano;26/10/2010;"9";"6";"13";"7";"86";"10";"4";"9";"0";"0";"0";"0";""
Milano;27/10/2010;"8";"4";"13";"4";"78";"8";"4";"7";"0";"1025";"0";"0";"nebbia"
Milano;28/10/2010;"7";"2";"13";"4";"84";"5";"2";"5";"0";"1024";"0";"0";"nebbia"
Milano;29/10/2010;"8";"3";"16";"5";"83";"5";"3";"7";"0";"1021";"0";"0";"nebbia"
Milano;30/10/2010;"9";"4";"13";"7";"87";"5";"5";"9";"0";"1017";"0";"0";"pioggia nebbia"
Milano;31/10/2010;"12";"10";"14";"10";"93";"6";"8";"15";"0";"1009";"0";"0";"pioggia"
Milano;1/9/2010;"18";"11";"25";"5";"45";"20";"3";"6";"0";"1013";"0";"0";""
Milano;2/9/2010;"19";"12";"25";"10";"56";"10";"3";"6";"0";"1015";"0";"0";""
Milano;3/9/2010;"21";"15";"26";"13";"62";"10";"3";"8";"0";"1016";"0";"0";""
Milano;4/9/2010;"22";"17";"27";"15";"68";"10";"3";"6";"0";"1015";"0";"0";""
Milano;5/9/2010;"22";"18";"26";"15";"67";"10";"5";"9";"0";"1015";"0";"0";""
Milano;6/9/2010;"20";"16";"23";"14";"68";"10";"7";"13";"0";"1014";"0";"0";"pioggia"
Milano;7/9/2010;"17";"15";"19";"14";"81";"9";"7";"12";"0";"1011";"0";"0";"pioggia"
Milano;8/9/2010;"19";"15";"22";"17";"88";"7";"6";"14";"0";"1006";"0";"0";"pioggia temporale"
Milano;9/9/2010;"18";"13";"24";"14";"81";"10";"3";"9";"0";"1012";"0";"0";"nebbia"
Milano;10/9/2010;"20";"14";"26";"12";"65";"12";"4";"10";"0";"1017";"0";"0";""
Milano;11/9/2010;"19";"12";"26";"12";"66";"10";"3";"6";"0";"1017";"0";"0";"nebbia"
Milano;12/9/2010;"20";"13";"26";"13";"65";"10";"3";"6";"0";"1018";"0";"0";""
Milano;13/9/2010;"20";"17";"24";"14";"69";"10";"4";"12";"0";"1018";"0";"0";"pioggia"
Milano;14/9/2010;"19";"13";"26";"13";"70";"10";"2";"6";"0";"1021";"0";"0";"nebbia"
Milano;15/9/2010;"20";"14";"27";"14";"72";"10";"2";"7";"0";"1017";"0";"0";""
Milano;16/9/2010;"22";"17";"26";"16";"69";"10";"3";"6";"0";"1011";"0";"0";""
Milano;17/9/2010;"22";"19";"24";"18";"79";"10";"3";"6";"0";"1009";"0";"0";"pioggia"
Milano;18/9/2010;"18";"15";"21";"17";"92";"7";"6";"14";"0";"1010";"0";"0";"pioggia temporale"
Milano;19/9/2010;"18";"14";"22";"14";"80";"9";"3";"7";"0";"1013";"0";"0";"pioggia"
Milano;20/9/2010;"18";"14";"24";"12";"69";"10";"3";"7";"0";"1019";"0";"0";""
Milano;21/9/2010;"18";"15";"24";"14";"76";"10";"2";"5";"0";"1019";"0";"0";""
Milano;22/9/2010;"19";"12";"26";"13";"72";"6";"2";"6";"0";"1020";"0";"0";"nebbia"
Milano;23/9/2010;"19";"13";"24";"13";"73";"10";"2";"5";"0";"1017";"0";"0";""
Milano;24/9/2010;"17";"14";"22";"14";"81";"7";"4";"10";"0";"1008";"0";"0";"pioggia temporale"
Milano;25/9/2010;"14";"12";"19";"12";"89";"9";"5";"12";"0";"998";"0";"0";"pioggia"
Milano;26/9/2010;"15";"8";"22";"9";"72";"12";"4";"23";"0";"1001";"0";"0";"nebbia"
Milano;27/9/2010;"15";"12";"18";"11";"81";"10";"4";"10";"0";"1007";"0";"0";"pioggia"
Milano;28/9/2010;"15";"12";"19";"11";"79";"10";"2";"6";"0";"1012";"0";"0";""
Milano;29/9/2010;"15";"8";"22";"10";"76";"8";"2";"4";"0";"1015";"0";"0";"nebbia"
Milano;30/9/2010;"15";"10";"21";"11";"79";"10";"2";"6";"0";"1015";"0";"0";"nebbia"