IdSensore,Tipologia,Unità_DiMisura,IdStazione,NomeStazione,Quota,Provincia,UTM_Nord,UTM_Est,lng,lat,location,Limiti amministrativi 2014 delle province di Regione Lombardia,Limiti amministrativi 2015 delle province di Regione Lombardia
17498,Livello Idrometrico,cm,1875,Opera Ponte Matteotti,98,MI,5024991,515066,9.192426151446794,45.378271735110665,"(45.378271735110665, 9.192426151446794)",4,4
8125,Livello Idrometrico,cm,869,Milano v.Feltre,127,MI,5037597,519436,9.248738238564373,45.49163261583995,"(45.49163261583995, 9.248738238564373)",4,4
14742,Temperatura,°C,1546,Rho Scalo Fiorenza - Prato,143,MI,5040479,506867,9.087923300302434,45.51781084679456,"(45.51781084679456, 9.087923300302434)",4,4
17479,Radiazione Globale,W/m²,1873,Abbiategrasso Strada Casalina,115,MI,5026799,491367,8.889705636733689,45.39465495024529,"(45.39465495024529, 8.889705636733689)",4,4
6185,Umidità Relativa,%,503,Milano P.zza Zavattari,122,MI,5035847,511082,9.141786267186658,45.47606340509791,"(45.47606340509791, 9.141786267186658)",4,4
2002,Umidità Relativa,%,100,Milano Lambrate,120,MI,5038171,520120,9.257515399681068,45.49677982403948,"(45.49677982403948, 9.257515399681068)",4,4
19243,Velocità Vento,m/s,502,Milano v.Juvara,122,MI,5035546,517377,9.222315138737468,45.473225708577175,"(45.473225708577175, 9.222315138737468)",4,4
6458,Radiazione Globale,W/m²,502,Milano v.Juvara,122,MI,5035546,517377,9.222315138737468,45.473225708577175,"(45.473225708577175, 9.222315138737468)",4,4
4007,Velocità Vento,m/s,140,Motta Visconti SMR,100,MI,5014273,499103,8.988562726793255,45.281956197427846,"(45.281956197427846, 8.988562726793255)",4,4
14159,Direzione Vento,°,140,Motta Visconti SMR,100,MI,5014273,499103,8.988562726793255,45.281956197427846,"(45.281956197427846, 8.988562726793255)",4,4
5911,Temperatura,°C,501,Milano v.Marche,129,MI,5038105,514918,9.190933555313624,45.49631644365102,"(45.49631644365102, 9.190933555313624)",4,4
6137,Velocità Vento,m/s,513,Trezzo sull'Adda v.Nenni,199,MI,5051253,539618,9.50812248390592,45.61369175877737,"(45.61369175877737, 9.50812248390592)",4,4
14390,Direzione Vento,°,100,Milano Lambrate,120,MI,5038171,520120,9.257515399681068,45.49677982403948,"(45.49677982403948, 9.257515399681068)",4,4
19008,Velocità Vento,m/s,620,Milano v.Brera,122,MI,5035365,514782,9.189110383708842,45.47165629324304,"(45.47165629324304, 9.189110383708842)",4,4
2044,Radiazione Globale,W/m²,102,San Colombano al Lambro,140,MI,5003839,538199,9.48624910324399,45.18699944365492,"(45.18699944365492, 9.48624910324399)",4,4
19020,Velocità Vento,m/s,501,Milano v.Marche,129,MI,5038105,514918,9.190933555313624,45.49631644365102,"(45.49631644365102, 9.190933555313624)",4,4
6174,Umidità Relativa,%,620,Milano v.Brera,122,MI,5035365,514782,9.189110383708842,45.47165629324304,"(45.47165629324304, 9.189110383708842)",4,4
19009,Direzione Vento,°,620,Milano v.Brera,122,MI,5035365,514782,9.189110383708842,45.47165629324304,"(45.47165629324304, 9.189110383708842)",4,4
14741,Precipitazione,mm,1546,Rho Scalo Fiorenza - Prato,143,MI,5040479,506867,9.087923300302434,45.51781084679456,"(45.51781084679456, 9.087923300302434)",4,4
17483,Direzione Vento,°,1873,Abbiategrasso Strada Casalina,115,MI,5026799,491367,8.889705636733689,45.39465495024529,"(45.39465495024529, 8.889705636733689)",4,4
5897,Temperatura,°C,620,Milano v.Brera,122,MI,5035365,514782,9.189110383708842,45.47165629324304,"(45.47165629324304, 9.189110383708842)",4,4
30539,Precipitazione,mm,1512,Pogliano Milanese,160,MI,5042449,500406,9.005199956067523,45.535576719250145,"(45.535576719250145, 9.005199956067523)",4,4
11851,Direzione Vento,°,148,Arconate SMR,182,MI,5043898,488082,8.847321929216262,45.54851735741946,"(45.54851735741946, 8.847321929216262)",4,4
4002,Umidità Relativa,%,140,Motta Visconti SMR,100,MI,5014273,499103,8.988562726793255,45.281956197427846,"(45.281956197427846, 8.988562726793255)",4,4
5902,Precipitazione,mm,525,Corsico v.le Italia,119,MI,5031403,507619,9.097410841871474,45.43610851009912,"(45.43610851009912, 9.097410841871474)",4,4
14110,Direzione Vento,°,147,Cinisello Balsamo Parco Nord,142,MI,5043257,516051,9.20560341214932,45.5426646784016,"(45.5426646784016, 9.20560341214932)",4,4
19005,Velocità Vento,m/s,503,Milano P.zza Zavattari,122,MI,5035847,511082,9.141786267186658,45.47606340509791,"(45.47606340509791, 9.141786267186658)",4,4
4058,Temperatura,°C,147,Cinisello Balsamo Parco Nord,142,MI,5043257,516051,9.20560341214932,45.5426646784016,"(45.5426646784016, 9.20560341214932)",4,4
4001,Temperatura,°C,140,Motta Visconti SMR,100,MI,5014273,499103,8.988562726793255,45.281956197427846,"(45.281956197427846, 8.988562726793255)",4,4
2006,Precipitazione,mm,100,Milano Lambrate,120,MI,5038171,520120,9.257515399681068,45.49677982403948,"(45.49677982403948, 9.257515399681068)",4,4
30525,Precipitazione,mm,1509,Paderno Dugnano Palazzolo Parco Borghetto,170,MI,5047745,512305,9.157732676006336,45.5831374605486,"(45.5831374605486, 9.157732676006336)",4,4
4112,Precipitazione,mm,148,Arconate SMR,182,MI,5043898,488082,8.847321929216262,45.54851735741946,"(45.54851735741946, 8.847321929216262)",4,4
19062,Velocità Vento,m/s,535,Lacchiarella v.Molise,97,MI,5019010,510542,9.134517264199278,45.32451741284727,"(45.32451741284727, 9.134517264199278)",4,4
6060,Direzione Vento,°,513,Trezzo sull'Adda v.Nenni,199,MI,5051253,539618,9.50812248390592,45.61369175877737,"(45.61369175877737, 9.50812248390592)",4,4
6597,Umidità Relativa,%,501,Milano v.Marche,129,MI,5038105,514918,9.190933555313624,45.49631644365102,"(45.49631644365102, 9.190933555313624)",4,4
6184,Umidità Relativa,%,513,Trezzo sull'Adda v.Nenni,199,MI,5051253,539618,9.50812248390592,45.61369175877737,"(45.61369175877737, 9.50812248390592)",4,4
19060,Direzione Vento,°,525,Corsico v.le Italia,119,MI,5031403,507619,9.097410841871474,45.43610851009912,"(45.43610851009912, 9.097410841871474)",4,4
2065,Precipitazione,mm,104,Segrate Milano Due,120,MI,5038760,520713,9.26512999260201,45.50206407454183,"(45.50206407454183, 9.26512999260201)",4,4
4064,Velocità Vento,m/s,147,Cinisello Balsamo Parco Nord,142,MI,5043257,516051,9.20560341214932,45.5426646784016,"(45.5426646784016, 9.20560341214932)",4,4
17487,Precipitazione,mm,1874,Magenta cascina Mainaga,137,MI,5033848,488617,8.854408992642751,45.45806524380926,"(45.45806524380926, 8.854408992642751)",4,4
19063,Direzione Vento,°,535,Lacchiarella v.Molise,97,MI,5019010,510542,9.134517264199278,45.32451741284727,"(45.32451741284727, 9.134517264199278)",4,4
5909,Temperatura,°C,502,Milano v.Juvara,122,MI,5035546,517377,9.222315138737468,45.473225708577175,"(45.473225708577175, 9.222315138737468)",4,4
4008,Precipitazione,mm,140,Motta Visconti SMR,100,MI,5014273,499103,8.988562726793255,45.281956197427846,"(45.281956197427846, 8.988562726793255)",4,4
4069,Radiazione Globale,W/m²,148,Arconate SMR,182,MI,5043898,488082,8.847321929216262,45.54851735741946,"(45.54851735741946, 8.847321929216262)",4,4
2063,Temperatura,°C,104,Segrate Milano Due,120,MI,5038760,520713,9.26512999260201,45.50206407454183,"(45.50206407454183, 9.26512999260201)",4,4
5917,Temperatura,°C,614,Rodano v.Turati,112,MI,5035511,527631,9.353497140155191,45.47258002819812,"(45.47258002819812, 9.353497140155191)",4,4
4072,Velocità Vento,m/s,148,Arconate SMR,182,MI,5043898,488082,8.847321929216262,45.54851735741946,"(45.54851735741946, 8.847321929216262)",4,4
5920,Temperatura,°C,503,Milano P.zza Zavattari,122,MI,5035847,511082,9.141786267186658,45.47606340509791,"(45.47606340509791, 9.141786267186658)",4,4
4004,Radiazione Globale,W/m²,140,Motta Visconti SMR,100,MI,5014273,499103,8.988562726793255,45.281956197427846,"(45.281956197427846, 8.988562726793255)",4,4
2064,Umidità Relativa,%,104,Segrate Milano Due,120,MI,5038760,520713,9.26512999260201,45.50206407454183,"(45.50206407454183, 9.26512999260201)",4,4
30523,Livello Idrometrico,cm,1508,Lainate SP 109,160,MI,5046729,503760,9.048190135820384,45.574091162538046,"(45.574091162538046, 9.048190135820384)",4,4
8692,Precipitazione,mm,866,Paderno Dugnano Palazzolo,168,MI,5047708,512402,9.158975133893636,45.58280270109661,"(45.58280270109661, 9.158975133893636)",4,4
19373,Precipitazione,mm,620,Milano v.Brera,122,MI,5035365,514782,9.189110383708842,45.47165629324304,"(45.47165629324304, 9.189110383708842)",4,4
30536,Precipitazione,mm,1511,Rescaldina,215,MI,5050479,496327,8.95289667553321,45.60784533497315,"(45.60784533497315, 8.95289667553321)",4,4
19244,Direzione Vento,°,502,Milano v.Juvara,122,MI,5035546,517377,9.222315138737468,45.473225708577175,"(45.473225708577175, 9.222315138737468)",4,4
19006,Direzione Vento,°,503,Milano P.zza Zavattari,122,MI,5035847,511082,9.141786267186658,45.47606340509791,"(45.47606340509791, 9.141786267186658)",4,4
2008,Radiazione Globale,W/m²,100,Milano Lambrate,120,MI,5038171,520120,9.257515399681068,45.49677982403948,"(45.49677982403948, 9.257515399681068)",4,4
19374,Radiazione Globale,W/m²,620,Milano v.Brera,122,MI,5035365,514782,9.189110383708842,45.47165629324304,"(45.47165629324304, 9.189110383708842)",4,4
8121,Livello Idrometrico,cm,866,Paderno Dugnano Palazzolo,168,MI,5047708,512402,9.158975133893636,45.58280270109661,"(45.58280270109661, 9.158975133893636)",4,4
2046,Precipitazione,mm,102,San Colombano al Lambro,140,MI,5003839,538199,9.48624910324399,45.18699944365492,"(45.18699944365492, 9.48624910324399)",4,4
17481,Velocità Vento,m/s,1873,Abbiategrasso Strada Casalina,115,MI,5026799,491367,8.889705636733689,45.39465495024529,"(45.39465495024529, 8.889705636733689)",4,4
14307,Livello Idrometrico,cm,1350,Locate di Triulzi v. Staffora,92,MI,5022881,515873,9.202665426569475,45.35926119035788,"(45.35926119035788, 9.202665426569475)",4,4
5908,Precipitazione,mm,502,Milano v.Juvara,122,MI,5035546,517377,9.222315138737468,45.473225708577175,"(45.473225708577175, 9.222315138737468)",4,4
11641,Velocità Vento,m/s,102,San Colombano al Lambro,140,MI,5003839,538199,9.48624910324399,45.18699944365492,"(45.18699944365492, 9.48624910324399)",4,4
6180,Umidità Relativa,%,535,Lacchiarella v.Molise,97,MI,5019010,510542,9.134517264199278,45.32451741284727,"(45.32451741284727, 9.134517264199278)",4,4
5903,Temperatura,°C,525,Corsico v.le Italia,119,MI,5031403,507619,9.097410841871474,45.43610851009912,"(45.43610851009912, 9.097410841871474)",4,4
17491,Umidità Relativa,%,1874,Magenta cascina Mainaga,137,MI,5033848,488617,8.854408992642751,45.45806524380926,"(45.45806524380926, 8.854408992642751)",4,4
4059,Umidità Relativa,%,147,Cinisello Balsamo Parco Nord,142,MI,5043257,516051,9.20560341214932,45.5426646784016,"(45.5426646784016, 9.20560341214932)",4,4
14391,Velocità Vento,m/s,100,Milano Lambrate,120,MI,5038171,520120,9.257515399681068,45.49677982403948,"(45.49677982403948, 9.257515399681068)",4,4
4060,Radiazione Globale,W/m²,147,Cinisello Balsamo Parco Nord,142,MI,5043257,516051,9.20560341214932,45.5426646784016,"(45.5426646784016, 9.20560341214932)",4,4
6179,Umidità Relativa,%,502,Milano v.Juvara,122,MI,5035546,517377,9.222315138737468,45.473225708577175,"(45.473225708577175, 9.222315138737468)",4,4
9341,Precipitazione,mm,503,Milano P.zza Zavattari,122,MI,5035847,511082,9.141786267186658,45.47606340509791,"(45.47606340509791, 9.141786267186658)",4,4
5910,Temperatura,°C,535,Lacchiarella v.Molise,97,MI,5019010,510542,9.134517264199278,45.32451741284727,"(45.32451741284727, 9.134517264199278)",4,4
8162,Temperatura,°C,869,Milano v.Feltre,127,MI,5037597,519436,9.248738238564373,45.49163261583995,"(45.49163261583995, 9.248738238564373)",4,4
6183,Umidità Relativa,%,614,Rodano v.Turati,112,MI,5035511,527631,9.353497140155191,45.47258002819812,"(45.47258002819812, 9.353497140155191)",4,4
5916,Precipitazione,mm,614,Rodano v.Turati,112,MI,5035511,527631,9.353497140155191,45.47258002819812,"(45.47258002819812, 9.353497140155191)",4,4
11827,Direzione Vento,°,102,San Colombano al Lambro,140,MI,5003839,538199,9.48624910324399,45.18699944365492,"(45.18699944365492, 9.48624910324399)",4,4
19059,Velocità Vento,m/s,525,Corsico v.le Italia,119,MI,5031403,507619,9.097410841871474,45.43610851009912,"(45.43610851009912, 9.097410841871474)",4,4
14121,Precipitazione,mm,1327,Milano v.Rosellini,122,MI,5037065,515119,9.193474059553125,45.48695097327908,"(45.48695097327908, 9.193474059553125)",4,4
2001,Temperatura,°C,100,Milano Lambrate,120,MI,5038171,520120,9.257515399681068,45.49677982403948,"(45.49677982403948, 9.257515399681068)",4,4
19021,Direzione Vento,°,501,Milano v.Marche,129,MI,5038105,514918,9.190933555313624,45.49631644365102,"(45.49631644365102, 9.190933555313624)",4,4
17488,Temperatura,°C,1874,Magenta cascina Mainaga,137,MI,5033848,488617,8.854408992642751,45.45806524380926,"(45.45806524380926, 8.854408992642751)",4,4
4066,Temperatura,°C,148,Arconate SMR,182,MI,5043898,488082,8.847321929216262,45.54851735741946,"(45.54851735741946, 8.847321929216262)",4,4
2040,Umidità Relativa,%,102,San Colombano al Lambro,140,MI,5003839,538199,9.48624910324399,45.18699944365492,"(45.18699944365492, 9.48624910324399)",4,4
14750,Direzione Vento,°,1547,Rho Scalo Fiorenza - Tetto,143,MI,5040421,507155,9.091609926370014,45.51728588547899,"(45.51728588547899, 9.091609926370014)",4,4
2039,Temperatura,°C,102,San Colombano al Lambro,140,MI,5003839,538199,9.48624910324399,45.18699944365492,"(45.18699944365492, 9.48624910324399)",4,4
14745,Umidità Relativa,%,1546,Rho Scalo Fiorenza - Prato,143,MI,5040479,506867,9.087923300302434,45.51781084679456,"(45.51781084679456, 9.087923300302434)",4,4
8149,Precipitazione,mm,890,Milano v.Confalonieri,122,MI,5037078,515100,9.19323132277657,45.487068399194094,"(45.487068399194094, 9.19323132277657)",4,4
5918,Precipitazione,mm,513,Trezzo sull'Adda v.Nenni,199,MI,5051253,539618,9.50812248390592,45.61369175877737,"(45.61369175877737, 9.50812248390592)",4,4
14751,Velocità Vento,m/s,1547,Rho Scalo Fiorenza - Tetto,143,MI,5040421,507155,9.091609926370014,45.51728588547899,"(45.51728588547899, 9.091609926370014)",4,4
3118,Livello Idrometrico,cm,1425,Milano Niguarda,139,MI,5041381,515011,9.192224195239163,45.525801944929476,"(45.525801944929476, 9.192224195239163)",4,4
4067,Umidità Relativa,%,148,Arconate SMR,182,MI,5043898,488082,8.847321929216262,45.54851735741946,"(45.54851735741946, 8.847321929216262)",4,4
4065,Precipitazione,mm,147,Cinisello Balsamo Parco Nord,142,MI,5043257,516051,9.20560341214932,45.5426646784016,"(45.5426646784016, 9.20560341214932)",4,4
6176,Umidità Relativa,%,525,Corsico v.le Italia,119,MI,5031403,507619,9.097410841871474,45.43610851009912,"(45.43610851009912, 9.097410841871474)",4,4
